,File ID,English_name,Quality,Time,Date,X,Y,year,type,month,time2,TOD,hour
0,402254,Rose-crested Blue Pipit,no score,13:30,2/8/2018,49,63.0,2018,call,2,14:00,Day,14
1,406171,Rose-crested Blue Pipit,A,7:48,6/7/2017,125,133.0,2017,call,6,8:00,Morning,8
2,405901,Rose-crested Blue Pipit,A,12:00,2/8/2018,58,76.0,2018,call,2,12:00,Day,12
3,405548,Rose-crested Blue Pipit,A,11:00,3/10/2018,55,125.0,2018,song,3,11:00,Day,11
4,401782,Rose-crested Blue Pipit,A,6:00,6/29/2008,129,123.0,2008,song,6,6:00,Morning,6
5,401720,Rose-crested Blue Pipit,A,13:00,12/28/2016,132,121.0,2016,call,12,13:00,Day,13
6,401719,Rose-crested Blue Pipit,A,13:00,12/28/2016,106,107.0,2016,call,12,13:00,Day,13
7,387404,Rose-crested Blue Pipit,A,10:00,9/18/2017,149,115.0,2017,call,9,10:00,Morning,10
8,377874,Rose-crested Blue Pipit,A,7:43,6/11/2000,134,118.0,2000,song,6,8:00,Morning,8
9,368493,Rose-crested Blue Pipit,A,12:47,3/13/2017,89,131.0,2017,call,3,13:00,Day,13
10,368492,Rose-crested Blue Pipit,A,12:45,3/13/2017,141,124.0,2017,call,3,13:00,Day,13
11,364567,Rose-crested Blue Pipit,A,7:00,4/14/2017,124,121.0,2017,song,4,7:00,Morning,7
13,351273,Rose-crested Blue Pipit,A,13:00,1/17/2017,146,114.0,2017,call,1,13:00,Day,13
14,299736,Rose-crested Blue Pipit,A,8:29,5/31/2015,131,133.0,2015,call,5,8:00,Morning,8
15,298739,Rose-crested Blue Pipit,A,15:00,1/9/2016,124,116.0,2016,call,1,15:00,Day,15
16,293916,Rose-crested Blue Pipit,A,9:01,6/5/2015,147,117.0,2015,call,6,9:00,Morning,9
17,293914,Rose-crested Blue Pipit,A,7:19,6/5/2015,142,114.0,2015,song,6,7:00,Morning,7
18,277989,Rose-crested Blue Pipit,A,20:31,5/26/2015,159,117.0,2015,song,5,21:00,Evening,21
19,277952,Rose-crested Blue Pipit,A,15:34,5/26/2015,128,116.0,2015,song,5,16:00,Day,16
20,233383,Rose-crested Blue Pipit,A,11:19,3/15/2015,142,114.0,2015,call,3,11:00,Day,11
21,225347,Rose-crested Blue Pipit,A,7:23,3/15/2015,163,117.0,2015,call,3,7:00,Morning,7
22,181907,Rose-crested Blue Pipit,A,17:00,3/13/2014,123,110.0,2014,call,3,17:00,Day,17
23,176636,Rose-crested Blue Pipit,A,7:40,6/6/2013,121,132.0,2013,song,6,8:00,Morning,8
24,164501,Rose-crested Blue Pipit,A,17:30,5/3/1993,131,120.0,1993,song,5,18:00,Evening,18
25,164204,Rose-crested Blue Pipit,A,6:00,4/30/2012,151,154.0,2012,song,4,6:00,Morning,6
26,163385,Rose-crested Blue Pipit,A,15:27,1/5/2014,152,154.0,2014,call,1,15:00,Day,15
27,162569,Rose-crested Blue Pipit,A,6:00,5/26/2013,75,142.0,2013,call,5,6:00,Morning,6
28,162567,Rose-crested Blue Pipit,A,17:50,5/25/2013,34,134.0,2013,call,5,18:00,Evening,18
29,162566,Rose-crested Blue Pipit,A,21:18,5/25/2013,142,121.0,2013,call,5,21:00,Evening,21
